# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = exp2d_pixelated_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 1724050829
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,bgdens,objdens
# Adaptation terminated
# Step size = 0.129627
# Diagonal elements of inverse mass matrix:
# 0.0162525, 1.16222, 0.122176, 0.101495, 1.16079, 0.445415, 0.0225654, 0.0644644
-527.762,0.994504,0.129627,4,15,0,530.269,1.6564,0.253927,-0.045336,0.902015,-0.624368,-0.78113,0.00211092,0.482131
-528.896,0.975858,0.129627,4,31,0,536.685,1.56734,0.129978,-0.179819,0.670983,-0.83265,-0.5538,0.00225199,0.753977
-531,0.546387,0.129627,5,31,0,534.273,1.55229,0.240812,0.481109,1.08315,-0.647622,-0.761962,0.00212775,0.595457
-527.788,0.999046,0.129627,4,15,0,532.537,1.83014,0.314447,0.52604,0.828944,-0.869658,-0.493655,0.00205321,0.647574
-528.724,0.976824,0.129627,4,15,0,533.973,2.11661,0.514446,0.647106,0.57302,-0.787522,-0.616287,0.00218946,0.541221
-530.674,0.671504,0.129627,5,31,0,535.376,1.48848,0.108487,-0.390007,0.526109,-0.999887,-0.0150191,0.00158077,0.581965
-526.815,1,0.129627,4,15,0,532.756,1.58648,0.144389,-0.268176,0.820029,-0.984355,-0.176199,0.00184769,0.615706
-527.148,0.990322,0.129627,5,31,0,530.345,1.86017,0.165634,0.955812,0.796635,-0.977433,-0.211247,0.0021296,0.441818
-528.482,0.972418,0.129627,5,31,0,532.099,2.33053,0.422542,-0.258938,0.856831,-0.797775,-0.602955,0.00157131,0.450534
-529.539,0.886416,0.129627,5,31,0,533.708,2.31373,0.530426,0.111254,0.370944,-0.871874,-0.489731,0.00147925,0.497443
-529.955,0.917684,0.129627,5,31,0,534.932,2.14999,0.285996,-0.531009,0.736184,-0.824653,-0.565639,0.00211733,0.278283
-525.261,0.967003,0.129627,5,31,0,532.694,2.04084,0.300631,0.361774,0.432457,-0.749739,-0.661733,0.00197398,0.471634
